"Budget","Project","Asset Name","Product","Date","Forecast Gross Risked Row","Actuals Gross Risked Row","Blended Gross Risked Row","FieldEst Gross Risked Row","FinActuals Gross Risked Row","FinBlend Gross Risked Row","Forecast Gross Unrisked Raw","Actuals Gross Unrisked Raw","Blended Gross Unrisked Raw","FieldEst Gross Unrisked Raw","FinActuals Gross Unrisked Raw","FinBlend Gross Unrisked Raw","Forecast Gross Risked Shrunk","Actuals Gross Risked Shrunk","Blended Gross Risked Shrunk","FieldEst Gross Risked Shrunk","FinActuals Gross Risked Shrunk","FinBlend Gross Risked Shrunk","Forecast Gross Unrisked Shrunk","Actuals Gross Unrisked Shrunk","Blended Gross Unrisked Shrunk","FieldEst Gross Unrisked Shrunk","FinActuals Gross Unrisked Shrunk","FinBlend Gross Unrisked Shrunk","Forecast Net Risked Raw","Actuals Net Risked Raw","Blended Net Risked Raw","FieldEst Net Risked Raw","FinActuals Net Risked Raw","FinBlend Net Risked Raw","Forecast Net Unrisked Raw","Actuals Net Unrisked Raw","Blended Net Unrisked Raw","FieldEst Net Unrisked Raw","FinActuals Net Unrisked Raw","FinBlend Net Unrisked Raw","Forecast Net Risked Sales","Actuals Net Risked Sales","Blended Net Risked Sales","FieldEst Net Risked Sales","FinActuals Net Risked Sales","FinBlend Net Risked Sales","Forecast Net Unrisked Sales","Actuals Net Unrisked Sales","Blended Net Unrisked Sales","FieldEst Net Unrisked Sales","FinActuals Net Unrisked Sales","FinBlend Net Unrisked Sales","Forecast Net Risked After Royalty","Actuals Net Risked After Royalty","Blended Net Risked After Royalty","FieldEst Net Risked After Royalty","FinActuals Net Risked After Royalty","FinBlend Net Risked After Royalty","Forecast Net Unrisked After Royalty","Actuals Net Unrisked After Royalty","Blended Net Unrisked After Royalty","FieldEst Net Unrisked After Royalty","FinActuals Net Unrisked After Royalty","FinBlend Net Unrisked After Royalty","Forecast Gross Unrisked Row","Forecast Gross Unrisked Row","Forecast Gross Unrisked Row","Forecast Gross Unrisked Row"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-04-01","840878.6562896471","0.0","840878.6562896471","0.0","0.0","840878.6562896471","840878.6562896471","0.0","840878.6562896471","0.0","0.0","840878.6562896471","840878.6562896471","0.0","840878.6562896471","0.0","0.0","840878.6562896471","840878.6562896471","0.0","840878.6562896471","0.0","0.0","840878.6562896471","714746.8578461999","0.0","714746.8578461999","0.0","0.0","714746.8578461999","714746.8578461999","0.0","714746.8578461999","0.0","0.0","714746.8578461999","714746.8578461999","0.0","714746.8578461999","0.0","0.0","714746.8578461999","714746.8578461999","0.0","714746.8578461999","0.0","0.0","714746.8578461999","630658.9922172353","0.0","630658.9922172353","0.0","0.0","630658.9922172353","630658.9922172353","0.0","630658.9922172353","0.0","0.0","630658.9922172353","840878.6562896471","840878.6562896471","840878.6562896471","840878.6562896471"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-05-01","689063.7743198178","0.0","689063.7743198178","0.0","0.0","689063.7743198178","689063.7743198178","0.0","689063.7743198178","0.0","0.0","689063.7743198178","689063.7743198178","0.0","689063.7743198178","0.0","0.0","689063.7743198178","689063.7743198178","0.0","689063.7743198178","0.0","0.0","689063.7743198178","585704.2081718451","0.0","585704.2081718451","0.0","0.0","585704.2081718451","585704.2081718451","0.0","585704.2081718451","0.0","0.0","585704.2081718451","585704.2081718451","0.0","585704.2081718451","0.0","0.0","585704.2081718451","585704.2081718451","0.0","585704.2081718451","0.0","0.0","585704.2081718451","516797.8307398632","0.0","516797.8307398632","0.0","0.0","516797.8307398632","516797.8307398632","0.0","516797.8307398632","0.0","0.0","516797.8307398632","689063.7743198178","689063.7743198178","689063.7743198178","689063.7743198178"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-06-01","562916.0819136486","0.0","562916.0819136486","0.0","0.0","562916.0819136486","562916.0819136486","0.0","562916.0819136486","0.0","0.0","562916.0819136486","562916.0819136486","0.0","562916.0819136486","0.0","0.0","562916.0819136486","562916.0819136486","0.0","562916.0819136486","0.0","0.0","562916.0819136486","478478.6696266015","0.0","478478.6696266015","0.0","0.0","478478.6696266015","478478.6696266015","0.0","478478.6696266015","0.0","0.0","478478.6696266015","478478.6696266015","0.0","478478.6696266015","0.0","0.0","478478.6696266015","478478.6696266015","0.0","478478.6696266015","0.0","0.0","478478.6696266015","422187.0614352366","0.0","422187.0614352366","0.0","0.0","422187.0614352366","422187.0614352366","0.0","422187.0614352366","0.0","0.0","422187.0614352366","562916.0819136486","562916.0819136486","562916.0819136486","562916.0819136486"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-07-01","504847.15694543417","0.0","504847.15694543417","0.0","0.0","504847.15694543417","504847.15694543417","0.0","504847.15694543417","0.0","0.0","504847.15694543417","504847.15694543417","0.0","504847.15694543417","0.0","0.0","504847.15694543417","504847.15694543417","0.0","504847.15694543417","0.0","0.0","504847.15694543417","429120.08340361854","0.0","429120.08340361854","0.0","0.0","429120.08340361854","429120.08340361854","0.0","429120.08340361854","0.0","0.0","429120.08340361854","429120.08340361854","0.0","429120.08340361854","0.0","0.0","429120.08340361854","429120.08340361854","0.0","429120.08340361854","0.0","0.0","429120.08340361854","378635.36770907557","0.0","378635.36770907557","0.0","0.0","378635.36770907557","378635.36770907557","0.0","378635.36770907557","0.0","0.0","378635.36770907557","504847.15694543417","504847.15694543417","504847.15694543417","504847.15694543417"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-08-01","451284.93924952997","0.0","451284.93924952997","0.0","0.0","451284.93924952997","451284.93924952997","0.0","451284.93924952997","0.0","0.0","451284.93924952997","451284.93924952997","0.0","451284.93924952997","0.0","0.0","451284.93924952997","451284.93924952997","0.0","451284.93924952997","0.0","0.0","451284.93924952997","383592.19836210087","0.0","383592.19836210087","0.0","0.0","383592.19836210087","383592.19836210087","0.0","383592.19836210087","0.0","0.0","383592.19836210087","383592.19836210087","0.0","383592.19836210087","0.0","0.0","383592.19836210087","383592.19836210087","0.0","383592.19836210087","0.0","0.0","383592.19836210087","338463.70443714736","0.0","338463.70443714736","0.0","0.0","338463.70443714736","338463.70443714736","0.0","338463.70443714736","0.0","0.0","338463.70443714736","451284.93924952997","451284.93924952997","451284.93924952997","451284.93924952997"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-09-01","396099.3391339849","0.0","396099.3391339849","0.0","0.0","396099.3391339849","396099.3391339849","0.0","396099.3391339849","0.0","0.0","396099.3391339849","396099.3391339849","0.0","396099.3391339849","0.0","0.0","396099.3391339849","396099.3391339849","0.0","396099.3391339849","0.0","0.0","396099.3391339849","336684.4382638871","0.0","336684.4382638871","0.0","0.0","336684.4382638871","336684.4382638871","0.0","336684.4382638871","0.0","0.0","336684.4382638871","336684.4382638871","0.0","336684.4382638871","0.0","0.0","336684.4382638871","336684.4382638871","0.0","336684.4382638871","0.0","0.0","336684.4382638871","297074.50435048854","0.0","297074.50435048854","0.0","0.0","297074.50435048854","297074.50435048854","0.0","297074.50435048854","0.0","0.0","297074.50435048854","396099.3391339849","396099.3391339849","396099.3391339849","396099.3391339849"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-10-01","375188.5897843498","0.0","375188.5897843498","0.0","0.0","375188.5897843498","375188.5897843498","0.0","375188.5897843498","0.0","0.0","375188.5897843498","375188.5897843498","0.0","375188.5897843498","0.0","0.0","375188.5897843498","375188.5897843498","0.0","375188.5897843498","0.0","0.0","375188.5897843498","318910.30131669715","0.0","318910.30131669715","0.0","0.0","318910.30131669715","318910.30131669715","0.0","318910.30131669715","0.0","0.0","318910.30131669715","318910.30131669715","0.0","318910.30131669715","0.0","0.0","318910.30131669715","318910.30131669715","0.0","318910.30131669715","0.0","0.0","318910.30131669715","281391.4423382622","0.0","281391.4423382622","0.0","0.0","281391.4423382622","281391.4423382622","0.0","281391.4423382622","0.0","0.0","281391.4423382622","375188.5897843498","375188.5897843498","375188.5897843498","375188.5897843498"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-11-01","343980.93713868083","0.0","343980.93713868083","0.0","0.0","343980.93713868083","343980.93713868083","0.0","343980.93713868083","0.0","0.0","343980.93713868083","343980.93713868083","0.0","343980.93713868083","0.0","0.0","343980.93713868083","343980.93713868083","0.0","343980.93713868083","0.0","0.0","343980.93713868083","292383.7965678787","0.0","292383.7965678787","0.0","0.0","292383.7965678787","292383.7965678787","0.0","292383.7965678787","0.0","0.0","292383.7965678787","292383.7965678787","0.0","292383.7965678787","0.0","0.0","292383.7965678787","292383.7965678787","0.0","292383.7965678787","0.0","0.0","292383.7965678787","257985.70285401074","0.0","257985.70285401074","0.0","0.0","257985.70285401074","257985.70285401074","0.0","257985.70285401074","0.0","0.0","257985.70285401074","343980.93713868083","343980.93713868083","343980.93713868083","343980.93713868083"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2011-12-01","346805.8145738649","0.0","346805.8145738649","0.0","0.0","346805.8145738649","346805.8145738649","0.0","346805.8145738649","0.0","0.0","346805.8145738649","346805.8145738649","0.0","346805.8145738649","0.0","0.0","346805.8145738649","346805.8145738649","0.0","346805.8145738649","0.0","0.0","346805.8145738649","294784.9423877853","0.0","294784.9423877853","0.0","0.0","294784.9423877853","294784.9423877853","0.0","294784.9423877853","0.0","0.0","294784.9423877853","294784.9423877853","0.0","294784.9423877853","0.0","0.0","294784.9423877853","294784.9423877853","0.0","294784.9423877853","0.0","0.0","294784.9423877853","260104.36093039904","0.0","260104.36093039904","0.0","0.0","260104.36093039904","260104.36093039904","0.0","260104.36093039904","0.0","0.0","260104.36093039904","346805.8145738649","346805.8145738649","346805.8145738649","346805.8145738649"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-01-01","331734.768579768","0.0","331734.768579768","0.0","0.0","331734.768579768","331734.768579768","0.0","331734.768579768","0.0","0.0","331734.768579768","331734.768579768","0.0","331734.768579768","0.0","0.0","331734.768579768","331734.768579768","0.0","331734.768579768","0.0","0.0","331734.768579768","281974.55329280347","0.0","281974.55329280347","0.0","0.0","281974.55329280347","281974.55329280347","0.0","281974.55329280347","0.0","0.0","281974.55329280347","281974.55329280347","0.0","281974.55329280347","0.0","0.0","281974.55329280347","281974.55329280347","0.0","281974.55329280347","0.0","0.0","281974.55329280347","248801.076434826","0.0","248801.076434826","0.0","0.0","248801.076434826","248801.076434826","0.0","248801.076434826","0.0","0.0","248801.076434826","331734.768579768","331734.768579768","331734.768579768","331734.768579768"
